technique_type,transitive_trace_type,direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,technique_aggregation,ap,auc,lag
COMBINED,upper,LSI,LSI,INDEPENDENT,SUM,PCA,0.5078559046805888,0.8757582066763827,198.9111111111111
COMBINED,upper,LSI,LSI,INDEPENDENT,SUM,SUM,0.489497540402145,0.855583315983066,231.2111111111111
COMBINED,upper,LSI,LSI,INDEPENDENT,SUM,MAX,0.43677705150436974,0.8514053716427232,237.0
COMBINED,upper,LSI,LSI,INDEPENDENT,MAX,PCA,0.6089635049761918,0.9146158650843222,136.7
COMBINED,upper,LSI,LSI,INDEPENDENT,MAX,SUM,0.602412545235503,0.91474078700812,136.5
COMBINED,upper,LSI,LSI,INDEPENDENT,MAX,MAX,0.5965068702575216,0.9212367270455963,125.2
COMBINED,upper,LSI,LSI,GLOBAL,PCA,PCA,0.5647152871874553,0.8631619126934554,219.07777777777778
COMBINED,upper,LSI,LSI,GLOBAL,PCA,SUM,0.5570579446314543,0.859719619682143,224.5888888888889
COMBINED,upper,LSI,LSI,GLOBAL,PCA,MAX,0.5488377024986609,0.837396765910195,260.3666666666667
COMBINED,upper,LSI,LSI,GLOBAL,SUM,PCA,0.4567497995006677,0.8479283780970227,243.46666666666667
COMBINED,upper,LSI,LSI,GLOBAL,SUM,SUM,0.42563402588725163,0.8156083003678257,295.2111111111111
COMBINED,upper,LSI,LSI,GLOBAL,SUM,MAX,0.3519299929692604,0.7019085293913527,477.02222222222224
COMBINED,upper,LSI,LSI,GLOBAL,MAX,PCA,0.6020265803933192,0.9092303421472692,145.32222222222222
COMBINED,upper,LSI,LSI,GLOBAL,MAX,SUM,0.6113264400166447,0.9129641196474426,139.34444444444443
COMBINED,upper,LSI,LSI,GLOBAL,MAX,MAX,0.6005080113924385,0.9128634880977167,139.44444444444446
COMBINED,upper,LSI,VSM,INDEPENDENT,PCA,PCA,0.544302861821428,0.8641682281907141,217.46666666666667
COMBINED,upper,LSI,VSM,INDEPENDENT,PCA,SUM,0.5549726217222057,0.8633562356860295,218.76666666666668
COMBINED,upper,LSI,VSM,INDEPENDENT,PCA,MAX,0.538042648957277,0.8690367131653828,207.65555555555557
COMBINED,upper,LSI,VSM,INDEPENDENT,SUM,PCA,0.6188465702407422,0.9142272190991743,137.32222222222222
COMBINED,upper,LSI,VSM,INDEPENDENT,SUM,SUM,0.5863266937781008,0.919661322784371,128.62222222222223
COMBINED,upper,LSI,VSM,INDEPENDENT,SUM,MAX,0.5680239556695214,0.9255916441113193,117.22222222222223
COMBINED,upper,LSI,VSM,INDEPENDENT,MAX,PCA,0.5843785523897581,0.9015823443681033,157.56666666666666
COMBINED,upper,LSI,VSM,INDEPENDENT,MAX,SUM,0.6364727676972203,0.9199042265250885,128.23333333333332
COMBINED,upper,LSI,VSM,INDEPENDENT,MAX,MAX,0.5532159526049885,0.9118432923867027,139.17777777777778
COMBINED,upper,LSI,VSM,GLOBAL,PCA,PCA,0.544302861821428,0.8641682281907141,217.46666666666667
COMBINED,upper,LSI,VSM,GLOBAL,PCA,SUM,0.5549726217222057,0.8633562356860295,218.76666666666668
COMBINED,upper,LSI,VSM,GLOBAL,PCA,MAX,0.538042648957277,0.8690367131653827,207.65555555555557
COMBINED,upper,LSI,VSM,GLOBAL,SUM,PCA,0.6189480317890118,0.9138316330071483,137.95555555555555
COMBINED,upper,LSI,VSM,GLOBAL,SUM,SUM,0.5881055515920725,0.9196821431050038,128.5888888888889
COMBINED,upper,LSI,VSM,GLOBAL,SUM,MAX,0.5694217918979666,0.9255153029356652,118.42222222222222
COMBINED,upper,LSI,VSM,GLOBAL,MAX,PCA,0.5826296239313984,0.9009924352835034,158.51111111111112
COMBINED,upper,LSI,VSM,GLOBAL,MAX,SUM,0.6341435214299607,0.9193004372267334,129.2
COMBINED,upper,LSI,VSM,GLOBAL,MAX,MAX,0.5478632045590915,0.9107467555000347,140.93333333333334
COMBINED,upper,VSM,LSI,INDEPENDENT,PCA,PCA,0.46524139511003804,0.8315809563467278,270.03333333333336
COMBINED,upper,VSM,LSI,INDEPENDENT,PCA,SUM,0.4345818322367634,0.8090811298493996,306.05555555555554
COMBINED,upper,VSM,LSI,INDEPENDENT,PCA,MAX,0.40737561414531726,0.809330973696995,305.65555555555557
COMBINED,upper,VSM,LSI,INDEPENDENT,SUM,PCA,0.4760464432879132,0.8531299882018183,235.53333333333333
COMBINED,upper,VSM,LSI,INDEPENDENT,SUM,SUM,0.4571415970084875,0.8448018599486432,248.86666666666667
COMBINED,upper,VSM,LSI,INDEPENDENT,SUM,MAX,0.43473379669017875,0.844649177597335,249.11111111111111
COMBINED,upper,VSM,LSI,INDEPENDENT,MAX,PCA,0.5919572317738757,0.9017801374141161,157.64444444444445
COMBINED,upper,VSM,LSI,INDEPENDENT,MAX,SUM,0.5649509682755905,0.8814664445832466,190.16666666666666
COMBINED,upper,VSM,LSI,INDEPENDENT,MAX,MAX,0.5238820722774592,0.8825491012561595,188.43333333333334
COMBINED,upper,VSM,LSI,GLOBAL,PCA,PCA,0.5145203908061179,0.8486640294260532,242.35555555555555
COMBINED,upper,VSM,LSI,GLOBAL,PCA,SUM,0.47673893031643,0.8257130959816781,279.0888888888889
COMBINED,upper,VSM,LSI,GLOBAL,PCA,MAX,0.4096047252533445,0.7789194253591505,353.9222222222222
COMBINED,upper,VSM,LSI,GLOBAL,SUM,PCA,0.411431058820884,0.7848566867929765,344.34444444444443
COMBINED,upper,VSM,LSI,GLOBAL,SUM,SUM,0.3885884616653804,0.7592129918800751,385.55555555555554
COMBINED,upper,VSM,LSI,GLOBAL,SUM,MAX,0.3519299929692604,0.7019085293913527,477.02222222222224
COMBINED,upper,VSM,LSI,GLOBAL,MAX,PCA,0.6041538202370784,0.9076757582066763,147.8111111111111
COMBINED,upper,VSM,LSI,GLOBAL,MAX,SUM,0.5741320352516293,0.8825595114164758,187.98888888888888
COMBINED,upper,VSM,LSI,GLOBAL,MAX,MAX,0.5213948564371259,0.8569435769310848,229.0
COMBINED,upper,VSM,VSM,INDEPENDENT,PCA,PCA,0.5630764959496418,0.8917967936706226,173.9
COMBINED,upper,VSM,VSM,INDEPENDENT,PCA,SUM,0.5405349895509558,0.8867582760774516,181.96666666666667
COMBINED,upper,VSM,VSM,INDEPENDENT,PCA,MAX,0.5697037165841166,0.8902144493025193,176.43333333333334
COMBINED,upper,VSM,VSM,INDEPENDENT,SUM,PCA,0.5870029504546136,0.9231036157956832,123.77777777777777
COMBINED,upper,VSM,VSM,INDEPENDENT,SUM,SUM,0.5372657224305543,0.9159206051773198,135.27777777777777
COMBINED,upper,VSM,VSM,INDEPENDENT,SUM,MAX,0.5213994897737751,0.9188909709209523,130.5222222222222
COMBINED,upper,VSM,VSM,INDEPENDENT,MAX,PCA,0.6447213847972563,0.9319175515302938,109.66666666666667
COMBINED,upper,VSM,VSM,INDEPENDENT,MAX,SUM,0.6417281549066923,0.9300992435283504,112.57777777777778
COMBINED,upper,VSM,VSM,INDEPENDENT,MAX,MAX,0.6411238869147441,0.9347491151363732,105.13333333333334
COMBINED,upper,VSM,VSM,GLOBAL,PCA,PCA,0.5630764959496418,0.8917967936706226,173.9
COMBINED,upper,VSM,VSM,GLOBAL,PCA,SUM,0.5405349895509558,0.8867582760774516,181.96666666666667
COMBINED,upper,VSM,VSM,GLOBAL,PCA,MAX,0.5697037165841166,0.8902144493025193,176.43333333333334
COMBINED,upper,VSM,VSM,GLOBAL,SUM,PCA,0.5882135843008551,0.9232215976126033,123.58888888888889
COMBINED,upper,VSM,VSM,GLOBAL,SUM,SUM,0.5379980742831896,0.9161496287042821,134.9111111111111
COMBINED,upper,VSM,VSM,GLOBAL,SUM,MAX,0.5234910528672416,0.919092234020404,130.2
COMBINED,upper,VSM,VSM,GLOBAL,MAX,PCA,0.6442240620065581,0.9319175515302935,109.66666666666667
COMBINED,upper,VSM,VSM,GLOBAL,MAX,SUM,0.6420327175608281,0.9302658060934139,112.31111111111112
COMBINED,upper,VSM,VSM,GLOBAL,MAX,MAX,0.6418484501373908,0.9349226178083142,104.85555555555555
COMBINED,lower,LSI,LSI,INDEPENDENT,PCA,PCA,0.6572203344992651,0.9150947324588798,135.93333333333334
COMBINED,lower,LSI,LSI,INDEPENDENT,PCA,SUM,0.6473847745121546,0.9148101880768963,136.38888888888889
COMBINED,lower,LSI,LSI,INDEPENDENT,PCA,MAX,0.6058862530717068,0.9166215559719619,132.72222222222223
COMBINED,lower,LSI,LSI,INDEPENDENT,SUM,PCA,0.5960671449549427,0.876264834478451,198.1
COMBINED,lower,LSI,LSI,INDEPENDENT,SUM,SUM,0.5830408205141111,0.8597682004302868,224.51111111111112
COMBINED,lower,LSI,LSI,INDEPENDENT,SUM,MAX,0.5452493490449286,0.8637240613505448,217.65555555555557
COMBINED,lower,LSI,LSI,INDEPENDENT,MAX,PCA,0.6221941200251873,0.901096536886668,158.34444444444443
COMBINED,lower,LSI,LSI,INDEPENDENT,MAX,SUM,0.6109022293834775,0.893726143382608,170.14444444444445
COMBINED,lower,LSI,LSI,INDEPENDENT,MAX,MAX,0.6798506516691509,0.9100215143313207,143.53333333333333
COMBINED,lower,LSI,LSI,GLOBAL,PCA,PCA,0.6439468333568001,0.9070511485876883,148.8111111111111
COMBINED,lower,LSI,LSI,GLOBAL,PCA,SUM,0.644517259329201,0.9101325560413631,143.87777777777777
COMBINED,lower,LSI,LSI,GLOBAL,PCA,MAX,0.630246919488615,0.9083628287875634,146.75555555555556
COMBINED,lower,LSI,LSI,GLOBAL,SUM,PCA,0.5850772848788718,0.8644527725726976,217.01111111111112
COMBINED,lower,LSI,LSI,GLOBAL,SUM,SUM,0.5604665180923892,0.8306822125060725,271.0777777777778
COMBINED,lower,LSI,LSI,GLOBAL,SUM,MAX,0.5184922263122885,0.7309077659795962,430.93333333333334
COMBINED,lower,LSI,LSI,GLOBAL,MAX,PCA,0.6329598491213958,0.9078076202373516,147.6
COMBINED,lower,LSI,LSI,GLOBAL,MAX,SUM,0.6310279415781915,0.9072454715802624,148.5
COMBINED,lower,LSI,LSI,GLOBAL,MAX,MAX,0.6811191550833996,0.9070858491220765,148.87777777777777
COMBINED,lower,LSI,VSM,INDEPENDENT,PCA,PCA,0.6366802941812152,0.9057672288153238,150.86666666666667
COMBINED,lower,LSI,VSM,INDEPENDENT,PCA,SUM,0.6757903072545174,0.924325074606149,121.15555555555555
COMBINED,lower,LSI,VSM,INDEPENDENT,PCA,MAX,0.5949558941347352,0.9163508918037337,133.15555555555557
COMBINED,lower,LSI,VSM,INDEPENDENT,SUM,PCA,0.6790711510450772,0.9310083975293221,110.45555555555555
COMBINED,lower,LSI,VSM,INDEPENDENT,SUM,SUM,0.6671610528791241,0.9354639461447707,103.32222222222222
COMBINED,lower,LSI,VSM,INDEPENDENT,SUM,MAX,0.6786064129948141,0.9399611354014852,95.36666666666666
COMBINED,lower,LSI,VSM,INDEPENDENT,MAX,PCA,0.6281441751092108,0.8939551669095703,169.77777777777777
COMBINED,lower,LSI,VSM,INDEPENDENT,MAX,SUM,0.6568599076232311,0.9084044694288292,146.64444444444445
COMBINED,lower,LSI,VSM,INDEPENDENT,MAX,MAX,0.6265212216369146,0.9059060309528767,149.45555555555555
