technique_type,transitive_trace_type,direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,technique_aggregation,ap,auc,lag,name
COMBINED,lower,VSM,LSI,INDEPENDENT,PCA,SUM,0.9770344875060725,0.9728719325153373,12.153374233128835,(o (SUM) ((. (VSM NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,INDEPENDENT,MAX,SUM,0.969005951066947,0.9670176928133216,14.776073619631902,(o (SUM) ((. (VSM NT) (0 2)) (x (MAX INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,GLOBAL,MAX,SUM,0.9686393126690674,0.9668293985539,14.860429447852761,(o (SUM) ((. (VSM NT) (0 2)) (x (MAX GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,VSM,GLOBAL,PCA,SUM,0.9732469796494793,0.9662508216476775,15.11963190184049,(o (SUM) ((. (VSM NT) (0 2)) (x (PCA GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,VSM,INDEPENDENT,PCA,PCA,0.9661750753654665,0.956415014241893,19.5260736196319,(o (PCA) ((. (VSM NT) (0 2)) (x (PCA INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,LSI,INDEPENDENT,PCA,PCA,0.9730192979914527,0.9691368591148115,13.826687116564417,(o (PCA) ((. (VSM NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,VSM,GLOBAL,SUM,MAX,0.940934664492517,0.9472536426380368,23.630368098159508,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,VSM,GLOBAL,SUM,SUM,0.9396180553643688,0.9478356430762489,23.369631901840492,(o (SUM) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,VSM,GLOBAL,SUM,PCA,0.9403852401913079,0.9485443141980718,23.052147239263803,(o (PCA) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,VSM,GLOBAL,PCA,MAX,0.9733257511578541,0.9635941608238388,16.309815950920246,(o (MAX) ((. (VSM NT) (0 2)) (x (PCA GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,VSM,GLOBAL,PCA,PCA,0.9661750753654665,0.956415014241893,19.5260736196319,(o (PCA) ((. (VSM NT) (0 2)) (x (PCA GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,LSI,GLOBAL,MAX,MAX,0.9681646656213587,0.9638098433391762,16.21319018404908,(o (MAX) ((. (VSM NT) (0 2)) (x (MAX GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,VSM,INDEPENDENT,MAX,MAX,0.9880729860311419,0.9835499287905346,7.369631901840491,(o (MAX) ((. (VSM NT) (0 2)) (x (MAX INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,VSM,INDEPENDENT,MAX,PCA,0.9862225284499212,0.982581069237511,7.803680981595092,(o (PCA) ((. (VSM NT) (0 2)) (x (MAX INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,VSM,INDEPENDENT,SUM,MAX,0.940934664492517,0.9472536426380368,23.630368098159508,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
