,family,type,percentile,original_group
549,direct,links,0.07999999999999996,low
550,transitive,non-links,0.4,high
551,transitive,non-links,0.16000000000000003,high
552,transitive,links,0.8,high
553,transitive,links,0.6799999999999999,high
554,transitive,links,0.0,low
555,transitive,non-links,0.84,high
556,transitive,links,0.31999999999999995,high
557,transitive,links,0.76,high
558,transitive,links,0.52,high
559,transitive,links,0.24,high
560,transitive,non-links,0.12,low
561,transitive,links,0.07999999999999996,high
562,transitive,links,0.88,low
563,transitive,links,0.43999999999999995,medium
564,transitive,links,0.72,low
565,transitive,links,0.56,low
566,transitive,links,0.040000000000000036,low
567,transitive,links,0.96,medium
568,transitive,links,0.92,high
569,transitive,links,0.36,high
570,transitive,links,0.6,high
571,transitive,links,0.64,high
572,transitive,links,0.19999999999999996,low
573,transitive,links,0.28,low
574,transitive,links,0.48,low
575,hybrid,non-links,0.96,high
576,hybrid,non-links,0.92,high
577,hybrid,links,0.88,high
578,hybrid,links,0.84,high
579,hybrid,links,0.0,low
580,hybrid,non-links,0.76,high
581,hybrid,links,0.52,high
582,hybrid,links,0.64,high
583,hybrid,links,0.48,high
584,hybrid,links,0.4,high
585,hybrid,non-links,0.16000000000000003,low
586,hybrid,links,0.31999999999999995,high
587,hybrid,links,0.24,low
588,hybrid,links,0.43999999999999995,medium
589,hybrid,links,0.36,low
590,hybrid,links,0.28,low
591,hybrid,links,0.040000000000000036,low
592,hybrid,links,0.56,medium
593,hybrid,links,0.6799999999999999,high
594,hybrid,links,0.6,high
595,hybrid,links,0.72,high
596,hybrid,links,0.8,high
597,hybrid,links,0.19999999999999996,low
598,hybrid,links,0.07999999999999996,low
599,hybrid,links,0.12,low
600,direct,non-links,0.76,high
601,direct,non-links,0.72,high
602,direct,non-links,0.52,medium
603,direct,non-links,0.56,medium
604,direct,non-links,0.96,high
605,direct,links,0.36,medium
606,direct,non-links,0.48,medium
607,direct,non-links,0.43999999999999995,medium
608,direct,non-links,0.0,low
609,direct,non-links,0.040000000000000036,low
610,direct,non-links,0.6,medium
611,direct,non-links,0.24,low
612,direct,non-links,0.64,medium
613,direct,non-links,0.84,high
614,direct,non-links,0.88,high
615,direct,non-links,0.6799999999999999,high
616,direct,non-links,0.8,high
617,direct,non-links,0.92,high
618,direct,non-links,0.07999999999999996,low
619,direct,non-links,0.16000000000000003,low
620,direct,non-links,0.19999999999999996,low
621,direct,non-links,0.31999999999999995,low
622,direct,non-links,0.28,low
623,direct,non-links,0.12,low
624,direct,non-links,0.4,medium
625,transitive,non-links,0.92,high
626,transitive,non-links,0.84,high
627,transitive,non-links,0.96,medium
628,transitive,non-links,0.88,medium
629,transitive,non-links,0.0,high
630,transitive,links,0.56,medium
631,transitive,non-links,0.6,medium
632,transitive,non-links,0.43999999999999995,medium
633,transitive,non-links,0.48,low
634,transitive,non-links,0.52,low
635,transitive,non-links,0.36,medium
636,transitive,non-links,0.16000000000000003,low
637,transitive,non-links,0.28,medium
638,transitive,non-links,0.76,high
639,transitive,non-links,0.8,high
640,transitive,non-links,0.72,high
641,transitive,non-links,0.64,high
642,transitive,non-links,0.6799999999999999,high
643,transitive,non-links,0.31999999999999995,low
644,transitive,non-links,0.07999999999999996,low
645,transitive,non-links,0.4,low
646,transitive,non-links,0.24,low
647,transitive,non-links,0.12,low
648,transitive,non-links,0.040000000000000036,low
649,transitive,non-links,0.19999999999999996,medium
650,hybrid,non-links,0.92,high
651,hybrid,non-links,0.88,high
652,hybrid,non-links,0.64,medium
653,hybrid,non-links,0.72,medium
654,hybrid,non-links,0.96,high
655,hybrid,links,0.24,medium
656,hybrid,non-links,0.48,medium
657,hybrid,non-links,0.43999999999999995,medium
658,hybrid,non-links,0.07999999999999996,low
659,hybrid,non-links,0.040000000000000036,low
660,hybrid,non-links,0.52,medium
661,hybrid,non-links,0.16000000000000003,low
662,hybrid,non-links,0.56,medium
663,hybrid,non-links,0.84,high
664,hybrid,non-links,0.8,high
665,hybrid,non-links,0.6799999999999999,high
666,hybrid,non-links,0.6,high
667,hybrid,non-links,0.76,high
668,hybrid,non-links,0.28,low
669,hybrid,non-links,0.31999999999999995,low
670,hybrid,non-links,0.36,low
671,hybrid,non-links,0.4,low
672,hybrid,non-links,0.12,low
673,hybrid,non-links,0.0,low
674,hybrid,non-links,0.19999999999999996,medium
675,direct,non-links,0.88,high
676,direct,non-links,0.88,high
677,direct,links,0.88,high
678,direct,links,0.88,high
679,direct,links,0.88,high
680,direct,non-links,0.52,medium
681,direct,links,0.0,low
682,direct,links,0.040000000000000036,low
683,direct,links,0.07999999999999996,low
684,direct,links,0.12,low
685,direct,non-links,0.19999999999999996,low
686,direct,links,0.16000000000000003,low
687,direct,links,0.56,medium
688,direct,links,0.6799999999999999,high
689,direct,links,0.72,high
690,direct,links,0.6,medium
691,direct,links,0.64,medium
692,direct,links,0.76,high
693,direct,links,0.24,low
694,direct,links,0.48,medium
695,direct,links,0.28,low
696,direct,links,0.4,medium
697,direct,links,0.36,medium
698,direct,links,0.31999999999999995,low
699,direct,links,0.43999999999999995,medium
700,transitive,non-links,0.92,high
701,transitive,non-links,0.84,high
702,transitive,links,0.96,high
703,transitive,links,0.88,high
704,transitive,links,0.040000000000000036,high
705,transitive,non-links,0.56,medium
706,transitive,links,0.0,low
707,transitive,links,0.36,low
708,transitive,links,0.52,low
709,transitive,links,0.6,low
710,transitive,non-links,0.12,low
711,transitive,links,0.07999999999999996,low
712,transitive,links,0.28,medium
713,transitive,links,0.72,high
714,transitive,links,0.8,high
715,transitive,links,0.6799999999999999,medium
716,transitive,links,0.64,medium
717,transitive,links,0.76,high
718,transitive,links,0.43999999999999995,low
719,transitive,links,0.16000000000000003,medium
720,transitive,links,0.4,low
721,transitive,links,0.24,medium
722,transitive,links,0.31999999999999995,medium
723,transitive,links,0.19999999999999996,low
724,transitive,links,0.48,medium
725,hybrid,non-links,0.96,high
726,hybrid,non-links,0.92,high
727,hybrid,links,0.84,high
728,hybrid,links,0.8,high
729,hybrid,links,0.88,high
730,hybrid,non-links,0.52,medium
731,hybrid,links,0.0,low
732,hybrid,links,0.040000000000000036,low
733,hybrid,links,0.12,low
734,hybrid,links,0.16000000000000003,low
